#C_ID        C_NGAL G_ID         G_RA    G_DEC  G_Z
000000000243 000023 000000000249 204.779 -00.813 0.426
000000000243 000023 000000000872 204.891 -00.411 0.445
000000000243 000023 000000000902 204.631 -00.654 0.433
000000000243 000023 000000001247 204.847 -00.523 0.456
000000000243 000023 000000002843 205.215 -00.454 0.422
000000000243 000023 000000004380 204.601 -00.577 0.442
000000000243 000023 000000004395 204.569 -00.487 0.444
000000000243 000023 000000005135 204.569 -00.885 0.417
000000000243 000023 000000005571 204.599 -00.728 0.421
000000000243 000023 000000005799 204.701 -00.399 0.433
000000000243 000023 000000005897 204.809 -00.449 0.430
000000000243 000023 000000005953 204.385 -00.734 0.441
000000000243 000023 000000006206 204.436 -00.812 0.466
000000000243 000023 000000006249 204.835 -00.558 0.436
000000000243 000023 000000007003 205.152 -00.538 0.425
000000000243 000023 000000007875 205.102 -00.587 0.426
000000000243 000023 000000008290 204.572 -00.527 0.465
000000000243 000023 000000008513 204.973 -00.727 0.434
000000000243 000023 000000009079 204.907 -00.601 0.462
000000000243 000023 000000009770 205.448 -00.588 0.444
000000000243 000023 000000010220 204.433 -00.728 0.427
000000000243 000023 000000012125 205.338 -00.482 0.445
000000000243 000023 000000012369 204.897 -00.670 0.459
000000000538 000021 000000000336 346.501 +00.202 0.616
000000000538 000021 000000000407 346.566 +00.273 0.587
000000000538 000021 000000001659 346.229 +00.259 0.600
000000000538 000021 000000002999 346.481 -00.225 0.624
000000000538 000021 000000003156 346.308 -00.033 0.606
000000000538 000021 000000003491 346.409 +00.033 0.603
000000000538 000021 000000003867 346.445 -00.128 0.644
000000000538 000021 000000004513 346.488 +00.160 0.659
000000000538 000021 000000005295 346.380 -00.024 0.614
000000000538 000021 000000005448 346.508 -00.060 0.615
000000000538 000021 000000006516 346.461 -00.117 0.625
000000000538 000021 000000006539 346.399 +00.126 0.639
000000000538 000021 000000006760 346.385 +00.097 0.534
000000000538 000021 000000006785 346.194 +00.446 0.638
000000000538 000021 000000006899 346.479 -00.023 0.623
000000000538 000021 000000008316 346.393 -00.023 0.629
000000000538 000021 000000010545 346.178 +00.210 0.658
000000000538 000021 000000010604 346.213 +00.297 0.633
000000000538 000021 000000011751 346.373 +00.093 0.550
000000000538 000021 000000011916 346.386 +00.233 0.599
000000000538 000021 000000012585 346.535 +00.233 0.575
000000000273 000012 000000000970 190.805 +00.061 0.465
000000000273 000012 000000001400 190.732 +00.158 0.441
000000000273 000012 000000002567 190.738 +00.170 0.466
000000000273 000012 000000002711 190.778 +00.137 0.469
000000000273 000012 000000003244 190.757 +00.186 0.468
000000000273 000012 000000005136 190.686 +00.025 0.482
000000000273 000012 000000005983 190.747 -00.040 0.496
000000000273 000012 000000007067 190.758 +00.033 0.482
000000000273 000012 000000008167 190.721 +00.051 0.458
000000000273 000012 000000009322 190.843 +00.021 0.480
000000000273 000012 000000011626 190.734 +00.013 0.506
000000000273 000012 000000012887 190.786 +00.030 0.447
000000000075 000012 000000000628 158.937 -00.032 0.594
000000000075 000012 000000003526 158.834 -00.002 0.515
000000000075 000012 000000003528 158.879 -00.064 0.566
000000000075 000012 000000004134 158.864 -00.061 0.511
000000000075 000012 000000004457 158.955 -00.080 0.517
000000000075 000012 000000004594 158.847 -00.016 0.499
000000000075 000012 000000005270 158.915 -00.096 0.494
000000000075 000012 000000007719 158.991 -00.020 0.540
000000000075 000012 000000008259 158.870 -00.038 0.512
000000000075 000012 000000009401 158.968 -00.049 0.526
000000000075 000012 000000010925 158.856 -00.028 0.556
000000000075 000012 000000011310 158.898 -00.050 0.469
000000000195 000011 000000001875 161.323 -00.374 0.606
000000000195 000011 000000002197 161.277 -00.107 0.635
000000000195 000011 000000003294 161.162 -00.235 0.601
000000000195 000011 000000003729 161.301 -00.348 0.598
000000000195 000011 000000004158 161.247 -00.264 0.625
000000000195 000011 000000006729 161.390 -00.406 0.568
000000000195 000011 000000007132 161.220 -00.262 0.634
000000000195 000011 000000009686 161.347 -00.444 0.577
000000000195 000011 000000011152 161.188 -00.159 0.656
000000000195 000011 000000011914 161.234 -00.346 0.571
000000000195 000011 000000012189 161.227 -00.300 0.578
000000000281 000011 000000003757 321.165 +00.076 0.545
000000000281 000011 000000003762 321.116 -00.164 0.468
000000000281 000011 000000003798 321.212 +00.099 0.532
000000000281 000011 000000004648 321.154 -00.011 0.485
000000000281 000011 000000004818 321.215 +00.098 0.513
000000000281 000011 000000005425 321.136 -00.203 0.485
000000000281 000011 000000006456 321.088 -00.029 0.446
000000000281 000011 000000007198 321.159 -00.040 0.463
000000000281 000011 000000009234 321.176 +00.006 0.491
000000000281 000011 000000012911 321.144 -00.124 0.456
000000000281 000011 000000013102 321.162 +00.031 0.499
000000000276 000011 000000001484 342.512 -00.270 0.469
000000000276 000011 000000002186 342.368 -00.487 0.511
000000000276 000011 000000002246 342.351 -00.518 0.468
000000000276 000011 000000003086 342.365 -00.467 0.477
000000000276 000011 000000005544 342.396 -00.439 0.530
000000000276 000011 000000006129 342.401 -00.428 0.476
000000000276 000011 000000007581 342.407 -00.385 0.518
000000000276 000011 000000008088 342.429 -00.440 0.515
000000000276 000011 000000009398 342.406 -00.386 0.457
000000000276 000011 000000011162 342.363 -00.478 0.561
000000000276 000011 000000012079 342.475 -00.350 0.464
000000000025 000011 000000000040 152.843 +00.003 0.506
000000000025 000011 000000001218 152.874 -00.045 0.473
000000000025 000011 000000004276 152.891 -00.033 0.478
000000000025 000011 000000004729 152.839 +00.045 0.490
000000000025 000011 000000005204 152.907 +00.113 0.443
000000000025 000011 000000005434 152.821 +00.075 0.496
000000000025 000011 000000005765 152.887 -00.076 0.493
000000000025 000011 000000006088 152.885 +00.053 0.479
000000000025 000011 000000006097 152.834 +00.128 0.466
000000000025 000011 000000011238 152.888 +00.161 0.492
000000000025 000011 000000012859 152.862 -00.039 0.470
000000000055 000010 000000002468 150.273 +00.094 0.520
000000000055 000010 000000003076 150.182 +00.172 0.539
000000000055 000010 000000003322 150.274 +00.151 0.471
000000000055 000010 000000004064 150.124 +00.177 0.490
000000000055 000010 000000004705 150.245 +00.178 0.485
000000000055 000010 000000005294 150.310 +00.189 0.520
000000000055 000010 000000005679 150.213 +00.151 0.504
000000000055 000010 000000006780 150.309 +00.140 0.532
000000000055 000010 000000010001 150.207 +00.139 0.493
000000000055 000010 000000011441 150.327 +00.188 0.560
000000000484 000010 000000000103 325.896 -00.434 0.596
000000000484 000010 000000001489 325.902 -00.326 0.595
000000000484 000010 000000002386 325.866 -00.368 0.575
000000000484 000010 000000004046 325.873 -00.454 0.545
000000000484 000010 000000004196 325.819 -00.498 0.553
000000000484 000010 000000006666 325.888 -00.539 0.578
000000000484 000010 000000006829 325.954 -00.531 0.552
000000000484 000010 000000008327 325.809 -00.417 0.548
000000000484 000010 000000012517 325.907 -00.495 0.572
000000000484 000010 000000012597 325.876 -00.500 0.497
000000000522 000010 000000002456 222.849 +00.002 0.558
000000000522 000010 000000003026 222.801 +00.055 0.618
000000000522 000010 000000005053 222.798 +00.057 0.570
000000000522 000010 000000007611 222.736 +00.091 0.586
000000000522 000010 000000008187 222.669 +00.110 0.553
000000000522 000010 000000008848 222.831 +00.026 0.613
000000000522 000010 000000011614 222.661 +00.135 0.630
000000000522 000010 000000011834 222.767 +00.080 0.553
000000000522 000010 000000012342 222.846 -00.047 0.577
000000000522 000010 000000012685 222.786 +00.145 0.547
000000000487 000010 000000002305 322.473 -00.559 0.603
000000000487 000010 000000002383 322.448 -00.397 0.602
000000000487 000010 000000005008 322.511 -00.364 0.673
000000000487 000010 000000005617 322.474 -00.616 0.566
000000000487 000010 000000005695 322.448 -00.593 0.544
000000000487 000010 000000007172 322.487 -00.219 0.655
000000000487 000010 000000007889 322.443 -00.588 0.527
000000000487 000010 000000010191 322.438 -00.518 0.561
000000000487 000010 000000011738 322.434 -00.412 0.659
000000000487 000010 000000012042 322.482 -00.515 0.631
000000000442 000010 000000000467 322.140 -00.773 0.604
000000000442 000010 000000001338 322.184 -00.800 0.537
000000000442 000010 000000003258 322.137 -00.769 0.515
000000000442 000010 000000006092 322.177 -00.819 0.557
000000000442 000010 000000006799 322.178 -00.846 0.576
000000000442 000010 000000006814 322.199 -00.808 0.596
000000000442 000010 000000008777 322.241 -00.815 0.650
000000000442 000010 000000009444 322.213 -00.688 0.538
000000000442 000010 000000009475 322.214 -00.734 0.544
000000000442 000010 000000012408 322.159 -00.756 0.596
000000000258 000009 000000002369 207.915 +00.405 0.442
000000000258 000009 000000003684 207.903 +00.416 0.497
000000000258 000009 000000004354 207.940 +00.464 0.546
000000000258 000009 000000004400 207.884 +00.451 0.520
000000000258 000009 000000005669 207.945 +00.327 0.440
000000000258 000009 000000008265 207.886 +00.391 0.454
