#C_ID        C_RA    C_DEC   C_Z   C_NGAL C_SN   C_AREA C_SIZE
000000000243 204.809 -00.587 0.436 000023 00.142 874.310 16.682
000000000538 346.399 +00.097 0.616 000021 00.208 340.103 10.405
000000000273 190.752 +00.042 0.468 000012 00.274 63.844 04.508
000000000075 158.888 -00.044 0.516 000012 00.407 28.974 03.037
000000000195 161.247 -00.300 0.601 000011 00.183 120.879 06.203
000000000281 321.159 -00.011 0.485 000011 00.214 88.180 05.298
000000000276 342.401 -00.439 0.477 000011 00.287 48.909 03.946
000000000025 152.874 +00.045 0.479 000011 00.253 63.080 04.481
000000000055 150.259 +00.162 0.512 000010 00.281 42.331 03.671
000000000484 325.882 -00.475 0.562 000010 00.245 55.387 04.199
000000000522 222.792 +00.068 0.574 000010 00.231 62.497 04.460
000000000487 322.461 -00.517 0.602 000010 00.167 119.184 06.159
000000000442 322.181 -00.787 0.567 000010 00.347 27.697 02.969
000000000258 207.915 +00.416 0.473 000009 00.282 33.942 03.287
000000000143 140.594 +00.111 0.579 000009 00.202 66.341 04.595
000000000128 151.941 +00.050 0.580 000009 00.238 47.703 03.897
000000000341 343.590 -00.676 0.554 000009 00.243 45.850 03.820
000000000482 222.006 -00.633 0.577 000009 00.251 42.776 03.690
000000000050 156.678 -00.315 0.497 000009 00.292 31.591 03.171
000000000251 218.974 +00.266 0.445 000008 00.140 109.579 05.906
000000000270 191.645 -00.524 0.467 000008 00.202 52.291 04.080
000000000524 322.810 -00.244 0.580 000008 00.192 57.808 04.290
000000000420 321.812 -01.106 0.574 000008 00.200 53.074 04.110
000000000031 142.165 +00.062 0.489 000008 00.483 09.136 01.705
000000000428 220.166 -00.652 0.563 000008 00.207 49.934 03.987
000000000328 186.202 -00.672 0.503 000008 00.477 09.376 01.728
000000000367 321.577 -00.068 0.521 000008 00.378 14.967 02.183
000000000160 034.962 -00.123 0.587 000008 00.150 95.351 05.509
000000000437 202.201 -00.369 0.566 000008 00.294 24.616 02.799
000000000338 348.627 -00.091 0.522 000008 00.254 33.133 03.248
000000000535 209.960 -00.660 0.600 000008 00.179 66.652 04.606
000000000459 207.880 -00.220 0.545 000008 00.217 45.279 03.796
000000000252 323.269 -00.123 0.442 000007 00.092 193.651 07.851
000000000264 321.684 -00.390 0.471 000007 00.211 36.763 03.421
000000000470 326.440 -00.492 0.568 000007 00.231 30.586 03.120
000000000260 203.557 -00.764 0.459 000007 00.135 89.826 05.347
000000000464 220.012 -00.463 0.561 000007 00.392 10.606 01.837
000000000256 225.811 +00.237 0.458 000007 00.167 58.790 04.326
000000000229 012.914 -00.886 0.638 000007 00.098 170.302 07.363
000000000498 221.371 -00.580 0.568 000007 00.226 31.988 03.191
000000000303 325.323 +00.175 0.498 000007 00.284 20.212 02.536
000000000499 223.714 -00.441 0.569 000007 00.225 32.177 03.200
000000000332 210.297 +00.284 0.500 000007 00.373 11.764 01.935
000000000146 152.261 -00.023 0.562 000007 00.223 32.703 03.226
000000000309 204.255 +00.021 0.481 000007 00.236 29.388 03.058
000000000094 185.374 -00.447 0.531 000007 00.332 14.794 02.170
000000000096 010.295 +00.178 0.536 000007 00.318 16.199 02.271
000000000621 185.880 -00.029 0.663 000006 00.026 1841.217 24.209
000000000254 211.282 +00.162 0.459 000006 00.137 63.679 04.502
000000000532 218.764 +00.356 0.582 000006 00.196 31.302 03.157
000000000339 222.406 -00.715 0.504 000006 00.176 38.809 03.515
000000000469 211.733 +00.048 0.548 000006 00.214 26.118 02.883
000000000306 226.770 +00.804 0.501 000006 00.388 07.981 01.594
000000000354 321.647 -00.508 0.533 000006 00.239 20.966 02.583
000000000320 321.731 +00.153 0.496 000006 00.245 19.985 02.522
000000000278 321.556 +00.175 0.468 000006 00.145 56.865 04.255
000000000279 323.833 -00.716 0.465 000006 00.214 26.082 02.881
000000000010 150.780 +00.497 0.468 000006 00.262 17.528 02.362
000000000360 210.182 +00.157 0.532 000006 00.369 08.793 01.673
000000000287 199.559 +00.097 0.479 000006 00.359 09.299 01.720
000000000290 227.681 +00.044 0.475 000006 00.249 19.392 02.484
