#C_ID        C_NGAL G_ID         G_RA    G_DEC  G_Z
000000000089 000013 000000003526 158.834 -00.002 0.485
000000000089 000013 000000003528 158.879 -00.064 0.491
000000000089 000013 000000004457 158.955 -00.080 0.481
000000000089 000013 000000004594 158.847 -00.016 0.486
000000000089 000013 000000005270 158.915 -00.096 0.481
000000000089 000013 000000006111 158.840 -00.005 0.478
000000000089 000013 000000007719 158.991 -00.020 0.485
000000000089 000013 000000008259 158.870 -00.038 0.484
000000000089 000013 000000009401 158.968 -00.049 0.485
000000000089 000013 000000010322 158.898 -00.146 0.482
000000000089 000013 000000010925 158.856 -00.028 0.484
000000000089 000013 000000011205 158.849 -00.159 0.484
000000000089 000013 000000011310 158.898 -00.050 0.488
000000000028 000012 000000000736 161.051 -00.081 0.613
000000000028 000012 000000001875 161.323 -00.374 0.622
000000000028 000012 000000003294 161.162 -00.235 0.625
000000000028 000012 000000003729 161.301 -00.348 0.624
000000000028 000012 000000004158 161.247 -00.264 0.623
000000000028 000012 000000005815 161.103 -00.035 0.612
000000000028 000012 000000007132 161.220 -00.262 0.624
000000000028 000012 000000007752 161.164 -00.105 0.617
000000000028 000012 000000010854 161.177 -00.055 0.612
000000000028 000012 000000011152 161.188 -00.159 0.617
000000000028 000012 000000011914 161.234 -00.346 0.629
000000000028 000012 000000012189 161.227 -00.300 0.619
000000000312 000011 000000003762 321.116 -00.164 0.460
000000000312 000011 000000004648 321.154 -00.011 0.468
000000000312 000011 000000005425 321.136 -00.203 0.466
000000000312 000011 000000006456 321.088 -00.029 0.466
000000000312 000011 000000007198 321.159 -00.040 0.453
000000000312 000011 000000008430 321.178 +00.011 0.466
000000000312 000011 000000010615 321.112 -00.076 0.469
000000000312 000011 000000012488 321.055 -00.248 0.469
000000000312 000011 000000012711 321.112 -00.260 0.463
000000000312 000011 000000012911 321.144 -00.124 0.468
000000000312 000011 000000013102 321.162 +00.031 0.449
000000000005 000011 000000000040 152.843 +00.003 0.511
000000000005 000011 000000001218 152.874 -00.045 0.511
000000000005 000011 000000004276 152.891 -00.033 0.507
000000000005 000011 000000004491 152.874 -00.047 0.512
000000000005 000011 000000004512 152.855 +00.002 0.511
000000000005 000011 000000004729 152.839 +00.045 0.511
000000000005 000011 000000005434 152.821 +00.075 0.514
000000000005 000011 000000005765 152.887 -00.076 0.515
000000000005 000011 000000006097 152.834 +00.128 0.513
000000000005 000011 000000010121 152.848 -00.049 0.511
000000000005 000011 000000012859 152.862 -00.039 0.511
000000000180 000011 000000000635 190.788 +00.054 0.469
000000000180 000011 000000000970 190.805 +00.061 0.462
000000000180 000011 000000005136 190.686 +00.025 0.470
000000000180 000011 000000005652 190.601 +00.094 0.473
000000000180 000011 000000007067 190.758 +00.033 0.469
000000000180 000011 000000008167 190.721 +00.051 0.469
000000000180 000011 000000009322 190.843 +00.021 0.466
000000000180 000011 000000010256 190.631 +00.027 0.460
000000000180 000011 000000010353 190.620 +00.040 0.479
000000000180 000011 000000011822 190.631 +00.086 0.466
000000000180 000011 000000012887 190.786 +00.030 0.469
000000000031 000010 000000000799 035.395 -00.216 0.594
000000000031 000010 000000001737 035.455 -00.275 0.593
000000000031 000010 000000002547 035.419 -00.307 0.593
000000000031 000010 000000006015 035.451 -00.237 0.592
000000000031 000010 000000006918 035.340 -00.181 0.590
000000000031 000010 000000010000 035.506 -00.204 0.578
000000000031 000010 000000011030 035.521 -00.182 0.594
000000000031 000010 000000011960 035.407 -00.207 0.588
000000000031 000010 000000012413 035.371 -00.199 0.586
000000000031 000010 000000013086 035.483 -00.236 0.590
000000000165 000010 000000000306 210.639 -00.520 0.433
000000000165 000010 000000001173 210.498 -00.659 0.447
000000000165 000010 000000001478 210.508 -00.650 0.443
000000000165 000010 000000002710 210.667 -00.460 0.440
000000000165 000010 000000003027 210.532 -00.607 0.444
000000000165 000010 000000003699 210.660 -00.464 0.439
000000000165 000010 000000005067 210.639 -00.547 0.437
000000000165 000010 000000007254 210.621 -00.540 0.440
000000000165 000010 000000008050 210.611 -00.545 0.436
000000000165 000010 000000011676 210.562 -00.578 0.442
000000000260 000008 000000002186 342.368 -00.487 0.492
000000000260 000008 000000002246 342.351 -00.518 0.495
000000000260 000008 000000005544 342.396 -00.439 0.500
000000000260 000008 000000006129 342.401 -00.428 0.501
000000000260 000008 000000007581 342.407 -00.385 0.497
000000000260 000008 000000008088 342.429 -00.440 0.498
000000000260 000008 000000009398 342.406 -00.386 0.500
000000000260 000008 000000011162 342.363 -00.478 0.498
000000000174 000007 000000000456 191.556 -00.514 0.486
000000000174 000007 000000000932 191.556 -00.486 0.484
000000000174 000007 000000002350 191.551 -00.586 0.486
000000000174 000007 000000002601 191.521 -00.619 0.488
000000000174 000007 000000003284 191.592 -00.414 0.489
000000000174 000007 000000003390 191.580 -00.539 0.489
000000000174 000007 000000007652 191.574 -00.461 0.486
000000000212 000007 000000001268 344.807 -00.042 0.511
000000000212 000007 000000005193 344.853 +00.004 0.514
000000000212 000007 000000007044 344.850 -00.000 0.511
000000000212 000007 000000008829 344.839 -00.025 0.513
000000000212 000007 000000009081 344.784 -00.058 0.510
000000000212 000007 000000009490 344.904 -00.007 0.505
000000000212 000007 000000012965 344.861 +00.038 0.517
000000000073 000007 000000002854 164.448 +00.192 0.402
000000000073 000007 000000002988 164.572 +00.286 0.408
000000000073 000007 000000003976 164.515 +00.231 0.391
000000000073 000007 000000007349 164.250 +00.059 0.407
000000000073 000007 000000007515 164.608 +00.217 0.403
000000000073 000007 000000008920 164.321 +00.094 0.408
000000000073 000007 000000010457 164.498 +00.183 0.404
000000000059 000007 000000002162 034.982 -00.089 0.559
000000000059 000007 000000003054 034.930 -00.197 0.555
000000000059 000007 000000003931 034.990 -00.110 0.553
000000000059 000007 000000007343 035.071 -00.010 0.563
000000000059 000007 000000008080 035.047 -00.046 0.558
000000000059 000007 000000010235 034.943 -00.137 0.557
000000000059 000007 000000012037 034.993 -00.050 0.552
000000000153 000007 000000000227 343.384 -00.472 0.574
000000000153 000007 000000000701 343.378 -00.467 0.584
000000000153 000007 000000000750 343.334 -00.507 0.567
000000000153 000007 000000003311 343.334 -00.574 0.570
000000000153 000007 000000004138 343.390 -00.457 0.569
000000000153 000007 000000004144 343.368 -00.486 0.568
000000000153 000007 000000009725 343.429 -00.447 0.570
000000000219 000006 000000001400 190.732 +00.158 0.471
000000000219 000006 000000002567 190.738 +00.170 0.468
000000000219 000006 000000002711 190.778 +00.137 0.468
000000000219 000006 000000003244 190.757 +00.186 0.475
000000000219 000006 000000006273 190.770 +00.131 0.465
000000000219 000006 000000012936 190.802 +00.126 0.462
000000000289 000006 000000003018 211.251 +00.155 0.448
000000000289 000006 000000003099 211.376 +00.170 0.436
000000000289 000006 000000008842 211.317 +00.179 0.439
000000000289 000006 000000009755 211.280 +00.131 0.449
000000000289 000006 000000011907 211.325 +00.189 0.439
000000000289 000006 000000012445 211.285 +00.216 0.442
000000000257 000006 000000002080 206.636 -00.038 0.469
000000000257 000006 000000003122 206.603 +00.003 0.481
000000000257 000006 000000003382 206.591 +00.064 0.486
000000000257 000006 000000004216 206.605 +00.093 0.484
